MOD;CÓDIGO;DENOMINACIÓN COMERCIAL EAE;TITULACIÓN FORMAL UNIVERSIDAD PARTNER;TURNO;IDIOMA;TITULACIÓN;UNIVERSIDAD;INICIO GENERAL DEL PROGRAMA (INICIO PERMISO INMIGRACIÓN);DURACIÓN DEL PROGRAMA (DESDE EL INICIO GENERAL HASTA LA FECHA MÁXIMA DE DEFENSA TFM);INICIO LECTIVO DEL MAJOR;FIN LECTIVO DEL MAJOR;INICIO LECTIVO SPECIALIZATION LABS;FIN LECTIVO SPECIALIZATION LABS;FECHA MÁXIMA DE DEFENSA DEL TFM;FIN GENERAL DEL PROGRAMA (FIN PERMISO INMIGRACIÓN);CIERRE DE ACTAS;CIERRE DE SERVICIOS;ECTS TOTALES;ECTS EN TFM;POSIBILIDAD DE PRÁCTICAS OPTATIVAS
Full-Time;241015911;International MBA - Barcelona - Boston;Máster Universitario en Administración y Dirección de Empresas, en la especialidad de Dirección Estratégica;Mañanas;Inglés;Oficial;UdL;21/10/2024;10 MESES;28/10/2024;12/06/2025;30/06/2025;11/07/2025;25/07/2025;15/09/2025;15/08/2025;05/09/2025;60;12;SI
Full-Time;241015920;Master in International Business STEM;Máster Universitario en Administración y Dirección de Empresas, en la especialidad de Negocios Internacionales;Mañanas;Inglés;Oficial;UdL;21/10/2024;10 MESES;28/10/2024;29/05/2025;30/06/2025;11/07/2025;25/07/2025;15/09/2025;15/08/2025;05/09/2025;70;12;SI
Full-Time;241015930;Máster en Big Data & Analytics;Máster de Formación Permanente en Big Data & Analytics;Tardes;Español;Propio;UdL;21/10/2024;10 MESES;28/10/2024;11/06/2025;30/06/2025;11/07/2025;25/07/2025;15/09/2025;15/08/2025;05/09/2025;60;15;SI
Full-Time;241015935;Máster in Big Data & Analytics;Máster de Formación Permanente en Big Data & Analytics;Tardes;Inglés;Propio;UdL;21/10/2024;10 MESES;28/10/2024;02/06/2025;30/06/2025;11/07/2025;25/07/2025;15/09/2025;15/08/2025;05/09/2025;60;15;SI
Full-Time;241015770;Máster en Inteligencia Artificial & Machine Learning for Business;Máster de formación permanente en Inteligencia Artificial & Machine Learning for Business;Tardes;Español;Propio;UdL;21/10/2024;10 MESES;28/10/2024;10/06/2025;30/06/2025;11/07/2025;25/07/2025;15/09/2025;15/08/2025;05/09/2025;60;12;SI
Full-Time;241015950;Máster en Emprendimiento ;Máster de Formación Permanente en Emprendimiento;Mañanas;Español;Propio;UdL;21/10/2024;10 MESES;28/10/2024;02/06/2025;30/06/2025;11/07/2025;25/07/2025;15/09/2025;15/08/2025;05/09/2025;60;15;SI
Full-Time;241015960;Máster en UX & Customer Experience;Máster de Formación Permanente en UX & Customer Experience;Tardes;Español;Propio;UdL;21/10/2024;10 MESES;28/10/2024;11/06/2025;30/06/2025;11/07/2025;25/07/2025;15/09/2025;15/08/2025;05/09/2025;60;15;SI
Full-Time;241015970;Máster en Fashion & Retail Management Barcelona-Rome;Máster de Formación Permanente en Fashion & Retail Management;Tardes;Español;Propio;UdL;21/10/2024;10 MESES;28/10/2024;17/06/2025;30/06/2025;11/07/2025;25/07/2025;15/09/2025;15/08/2025;05/09/2025;60;15;SI
Full-Time;241015980;Máster en Sports Management;Máster de Formación Permanente en Sports Management;Tardes;Español;Propio;UdL;21/10/2024;10 MESES;28/10/2024;11/06/2025;30/06/2025;11/07/2025;25/07/2025;15/09/2025;15/08/2025;05/09/2025;60;15;SI
Full-Time;241015990;Máster in Management STEM;Máster Universitario en Administración y Dirección de Empresas, en la especialidad de Dirección Estratégica;Mañanas;Español;Oficial;UdL;21/10/2024;10 MESES;28/10/2024;29/05/2025;30/06/2025;11/07/2025;25/07/2025;15/09/2025;15/08/2025;05/09/2025;70;12;SI
PT;241015991;Máster en Dirección Estratégica;Máster Universitario en Administración y Dirección de Empresas, en la especialidad de Dirección Estratégica;Tardes;Español;Oficial;UdL;22/10/2024;11 MESES;28/10/2024;05/06/2025;30/06/2025;11/07/2025;25/07/2025;15/09/2025;15/08/2025;05/09/2025;60;12;SI
